,trajectoryId,lat,lon,alt,arrivaltime,leavetime,algorithm
0,20389,49.891376,10.883175,298.564647,2020-11-07 17:45:00,2020-11-07 18:10:03,dbscan
1,20389,49.89374644444444,10.891722444444445,0.0,2020-11-07 15:30:00,2020-11-07 15:43:20,dist
2,20389,49.89236174999999,10.892802916666666,0.0,2020-11-07 15:55:00,2020-11-07 16:09:20,dist
3,20389,49.892378666666666,10.890528916666666,0.0,2020-11-07 16:16:00,2020-11-07 16:31:12,dist
4,20389,49.8932865,10.8865925,0.0,2020-11-07 16:40:04,2020-11-07 16:55:00,dist
5,20389,49.89134642857143,10.883144642857145,0.0,2020-11-07 17:55:00,2020-11-07 18:12:23,dist
6,20389,49.89156993750001,10.881284687500003,0.0,2020-11-07 18:20:08,2020-11-07 18:36:00,dist
7,20389,49.89131978571429,10.878285000000002,0.0,2020-11-07 18:41:00,2020-11-07 18:55:00,dist
8,20389,49.89326878571429,10.875268285714284,0.0,2020-11-07 19:05:23,2020-11-07 19:20:07,dist
9,20429,49.906854,10.905745,282.315185,2020-11-02 10:00:00,2020-11-02 10:13:38,dbscan
10,20429,49.893042,10.88738,278.231523,2020-11-02 10:20:00,2020-11-02 10:35:00,dbscan
11,20429,49.896122,10.891276,287.847345,2020-11-02 10:45:00,2020-11-02 11:00:00,dbscan
12,20429,49.891588,10.886873,278.231567,2020-11-02 11:09:00,2020-11-02 11:24:30,dbscan
13,20429,49.894788,10.888518,276.235466,2020-11-02 11:35:00,2020-11-02 11:49:00,dbscan
14,20429,49.892526,10.886843,279.435938,2020-11-02 12:01:00,2020-11-02 12:13:00,dbscan
15,20429,49.892163,10.890727,274.235433,2020-11-02 12:25:00,2020-11-02 13:18:10,dbscan
16,20429,49.892588,10.891344,281.792775,2020-11-02 13:00:00,2020-11-02 13:14:00,dbscan
17,20429,49.894136,10.886532,283.334356,2020-11-02 13:26:00,2020-11-02 13:40:00,dbscan
18,20429,49.895035,10.883729,288.232322,2020-11-02 13:50:00,2020-11-02 14:05:00,dbscan
19,20429,49.906808857142856,10.905751571428572,0.0,2020-11-02 10:00:00,2020-11-02 10:15:00,dist
20,20429,49.893106,10.887373769230768,0.0,2020-11-02 10:20:00,2020-11-02 10:35:00,dist
21,20429,49.89613207692308,10.891262230769229,0.0,2020-11-02 10:45:00,2020-11-02 11:00:00,dist
